home,score,away,year
France ,4–1, Mexico,1930
Argentina ,1–0, France,1930
Chile ,3–0, Mexico,1930
Chile ,1–0, France,1930
Argentina ,6–3, Mexico,1930
Argentina ,3–1, Chile,1930
Yugoslavia ,2–1, Brazil,1930
Yugoslavia ,4–0, Bolivia,1930
Brazil ,4–0, Bolivia,1930
Romania ,3–1, Peru,1930
Uruguay ,1–0, Peru,1930
Uruguay ,4–0, Romania,1930
United States ,3–0, Belgium,1930
United States ,3–0, Paraguay,1930
Paraguay ,1–0, Belgium,1930
Argentina ,6–1, United States,1930
Uruguay ,6–1, Yugoslavia,1930
Uruguay ,4–2, Argentina,1930
Spain ,3–1, Brazil,1934
Hungary ,4–2, Egypt,1934
Switzerland ,3–2, Netherlands,1934
Italy ,7–1, United States,1934
Czechoslovakia ,2–1, Romania,1934
Sweden ,3–2, Argentina,1934
Austria ,3–2 (a.e.t.), France,1934
Germany ,5–2, Belgium,1934
Austria ,2–1, Hungary,1934
Italy ,1–1 (a.e.t.), Spain,1934
Germany ,2–1, Sweden,1934
Czechoslovakia ,3–2, Switzerland,1934
Italy ,1–0, Spain,1934
Italy ,1–0, Austria,1934
Czechoslovakia ,3–1, Germany,1934
Germany ,3–2, Austria,1934
Italy ,2–1 (a.e.t.), Czechoslovakia,1934
Switzerland ,1–1 (a.e.t.), Germany,1938
Hungary ,6–0, Dutch East Indies,1938
Sweden ,w/o[a], Austria,1938
Cuba ,3–3 (a.e.t.), Romania,1938
France ,3–1, Belgium,1938
Italy ,2–1 (a.e.t.), Norway,1938
Brazil ,6–5 (a.e.t.), Poland,1938
Czechoslovakia ,3–0 (a.e.t.), Netherlands,1938
Switzerland ,4–2, Germany,1938
Cuba ,2–1, Romania,1938
Hungary ,2–0, Switzerland,1938
Sweden ,8–0, Cuba,1938
Italy ,3–1, France,1938
Brazil ,1–1 (a.e.t.), Czechoslovakia,1938
Brazil ,2–1, Czechoslovakia,1938
Hungary ,5–1, Sweden,1938
Italy ,2–1, Brazil,1938
Brazil ,4–2, Sweden,1938
Italy ,4–2, Hungary,1938
Brazil ,4–0, Mexico,1950
Yugoslavia ,3–0, Switzerland,1950
Brazil ,2–2, Switzerland,1950
Yugoslavia ,4–1, Mexico,1950
Brazil ,2–0, Yugoslavia,1950
Switzerland ,2–1, Mexico,1950
England ,2–0, Chile,1950
Spain ,3–1, United States,1950
Spain ,2–0, Chile,1950
United States ,1–0, England,1950
Spain ,1–0, England,1950
Chile ,5–2, United States,1950
Sweden ,3–2, Italy,1950
Sweden ,2–2, Paraguay,1950
Italy ,2–0, Paraguay,1950
Uruguay ,8–0, Bolivia,1950
Uruguay ,2–2, Spain,1950
Brazil ,7–1, Sweden,1950
Brazil ,6–1, Spain,1950
Uruguay ,3–2, Sweden,1950
Sweden ,3–1, Spain,1950
Uruguay ,2–1, Brazil,1950
Brazil ,5–0, Mexico,1954
Yugoslavia ,1–0, France,1954
Brazil ,1–1 (a.e.t.), Yugoslavia,1954
France ,3–2, Mexico,1954
West Germany ,4–1, Turkey,1954
Hungary ,9–0, South Korea,1954
Hungary ,8–3, West Germany,1954
Turkey ,7–0, South Korea,1954
West Germany ,7–2, Turkey,1954
Uruguay ,2–0, Czechoslovakia,1954
Austria ,1–0, Scotland,1954
Uruguay ,7–0, Scotland,1954
Austria ,5–0, Czechoslovakia,1954
Switzerland ,2–1, Italy,1954
England ,4–4 (a.e.t.), Belgium,1954
Italy ,4–1, Belgium,1954
England ,2–0, Switzerland,1954
Switzerland ,4–1, Italy,1954
Austria ,7–5, Switzerland,1954
Uruguay ,4–2, England,1954
West Germany ,2–0, Yugoslavia,1954
Hungary ,4–2, Brazil,1954
West Germany ,6–1, Austria,1954
Hungary ,4–2 (a.e.t.), Uruguay,1954
Austria ,3–1, Uruguay,1954
West Germany ,3–2, Hungary,1954
Argentina ,1–3, West Germany,1958
Northern Ireland ,1–0, Czechoslovakia,1958
West Germany ,2–2, Czechoslovakia,1958
Argentina ,3–1, Northern Ireland,1958
West Germany ,2–2, Northern Ireland,1958
Czechoslovakia ,6–1, Argentina,1958
Northern Ireland ,2–1 (a.e.t.), Czechoslovakia,1958
France ,7–3, Paraguay,1958
Yugoslavia ,1–1, Scotland,1958
Yugoslavia ,3–2, France,1958
Paraguay ,3–2, Scotland,1958
France ,2–1, Scotland,1958
Paraguay ,3–3, Yugoslavia,1958
Sweden ,3–0, Mexico,1958
Hungary ,1–1, Wales,1958
Mexico ,1–1, Wales,1958
Sweden ,2–1, Hungary,1958
Sweden ,0–0, Wales,1958
Hungary ,4–0, Mexico,1958
Wales ,2–1, Hungary,1958
Brazil ,3–0, Austria,1958
Soviet Union ,2–2, England,1958
Brazil ,0–0, England,1958
Soviet Union ,2–0, Austria,1958
England ,2–2, Austria,1958
Brazil ,2–0, Soviet Union,1958
Soviet Union ,1–0, England,1958
Brazil ,1–0, Wales,1958
France ,4–0, Northern Ireland,1958
Sweden ,2–0, Soviet Union,1958
West Germany ,1–0, Yugoslavia,1958
Brazil ,5–2, France,1958
Sweden ,3–1, West Germany,1958
France ,6–3, West Germany,1958
Brazil ,5–2, Sweden,1958
Uruguay ,2–1, Colombia,1962
Soviet Union ,2–0, Yugoslavia,1962
Yugoslavia ,3–1, Uruguay,1962
Soviet Union ,4–4, Colombia,1962
Soviet Union ,2–1, Uruguay,1962
Yugoslavia ,5–0, Colombia,1962
Chile ,3–1, Switzerland,1962
West Germany ,0–0, Italy,1962
Chile ,2–0, Italy,1962
West Germany ,2–1, Switzerland,1962
West Germany ,2–0, Chile,1962
Italy ,3–0, Switzerland,1962
Brazil ,2–0, Mexico,1962
Czechoslovakia ,1–0, Spain,1962
Brazil ,0–0, Czechoslovakia,1962
Spain ,1–0, Mexico,1962
Brazil ,2–1, Spain,1962
Mexico ,3–1, Czechoslovakia,1962
Argentina ,1–0, Bulgaria,1962
Hungary ,2–1, England,1962
England ,3–1, Argentina,1962
Hungary ,6–1, Bulgaria,1962
Hungary ,0–0, Argentina,1962
England ,0–0, Bulgaria,1962
Chile ,2–1, Soviet Union,1962
Czechoslovakia ,1–0, Hungary,1962
Brazil ,3–1, England,1962
Yugoslavia ,1–0, West Germany,1962
Czechoslovakia ,3–1, Yugoslavia,1962
Brazil ,4–2, Chile,1962
Chile ,1–0, Yugoslavia,1962
Brazil ,3–1, Czechoslovakia,1962
England ,0–0, Uruguay,1966
France ,1–1, Mexico,1966
Uruguay ,2–1, France,1966
England ,2–0, Mexico,1966
Mexico ,0–0, Uruguay,1966
England ,2–0, France,1966
West Germany ,5–0, Switzerland,1966
Argentina ,2–1, Spain,1966
Spain ,2–1, Switzerland,1966
Argentina ,0–0, West Germany,1966
Argentina ,2–0, Switzerland,1966
West Germany ,2–1, Spain,1966
Brazil ,2–0, Bulgaria,1966
Portugal ,3–1, Hungary,1966
Hungary ,3–1, Brazil,1966
Portugal ,3–0, Bulgaria,1966
Portugal ,3–1, Brazil,1966
Hungary ,3–1, Bulgaria,1966
Soviet Union ,3–0, North Korea,1966
Italy ,2–0, Chile,1966
Chile ,1–1, North Korea,1966
Soviet Union ,1–0, Italy,1966
North Korea ,1–0, Italy,1966
Soviet Union ,2–1, Chile,1966
England ,1–0, Argentina,1966
West Germany ,4–0, Uruguay,1966
Soviet Union ,2–1, Hungary,1966
Portugal ,5–3, North Korea,1966
West Germany ,2–1, Soviet Union,1966
England ,2–1, Portugal,1966
Portugal ,2–1, Soviet Union,1966
England ,4–2 (a.e.t.), West Germany,1966
Soviet Union ,0–1 (a.e.t.), Uruguay,1970
Italy ,4–1, Mexico,1970
Brazil ,4–2, Peru,1970
West Germany ,3–2 (a.e.t.), England,1970
Uruguay ,1–3, Brazil,1970
Italy ,4–3 (a.e.t.), West Germany,1970
Uruguay ,0–1, West Germany,1970
Brazil ,4–1, Italy,1970
Brazil ,0–1, Poland,1974
Netherlands ,1–2, West Germany,1974
Brazil ,2–1, Italy,1978
Argentina ,3–1 (a.e.t.), Netherlands,1978
Poland ,0–2, Italy,1982
West Germany ,3–3 (a.e.t.), France,1982
Poland ,3–2, France,1982
Italy ,3–1, West Germany,1982
Mexico ,2–0, Bulgaria,1986
Soviet Union ,3–4 (a.e.t.), Belgium,1986
Brazil ,4–0, Poland,1986
Argentina ,1–0, Uruguay,1986
Italy ,0–2, France,1986
Morocco ,0–1, West Germany,1986
England ,3–0, Paraguay,1986
Denmark ,1–5, Spain,1986
Brazil ,1–1 (a.e.t.), France,1986
West Germany ,0–0 (a.e.t.), Mexico,1986
Argentina ,2–1, England,1986
Spain ,1–1 (a.e.t.), Belgium,1986
France ,0–2, West Germany,1986
Argentina ,2–0, Belgium,1986
Belgium ,2–4 (a.e.t.), France,1986
Argentina ,3–2, West Germany,1986
Cameroon ,2–1 (a.e.t.), Colombia,1990
Czechoslovakia ,4–1, Costa Rica,1990
Brazil ,0–1, Argentina,1990
West Germany ,2–1, Netherlands,1990
Republic of Ireland ,0–0 (a.e.t.), Romania,1990
Italy ,2–0, Uruguay,1990
Spain ,1–2 (a.e.t.), Yugoslavia,1990
England ,1–0 (a.e.t.), Belgium,1990
Argentina ,0–0 (a.e.t.), Yugoslavia,1990
Republic of Ireland ,0–1, Italy,1990
Czechoslovakia ,0–1, West Germany,1990
Cameroon ,2–3 (a.e.t.), England,1990
Argentina ,1–1 (a.e.t.), Italy,1990
West Germany ,1–1 (a.e.t.), England,1990
Italy ,2–1, England,1990
West Germany ,1–0, Argentina,1990
Germany ,3–2, Belgium,1994
Spain ,3–0, Switzerland,1994
Saudi Arabia ,1–3, Sweden,1994
Romania ,3–2, Argentina,1994
Netherlands ,2–0, Republic of Ireland,1994
Brazil ,1–0, United States,1994
Nigeria ,1–2 (a.e.t.), Italy,1994
Mexico ,1–1 (a.e.t.), Bulgaria,1994
Italy ,2–1, Spain,1994
Netherlands ,2–3, Brazil,1994
Bulgaria ,2–1, Germany,1994
Romania ,2–2 (a.e.t.), Sweden,1994
Bulgaria ,1–2, Italy,1994
Sweden ,0–1, Brazil,1994
Sweden ,4–0, Bulgaria,1994
Brazil ,0–0 (a.e.t.), Italy,1994
Italy ,1–0, Norway,1998
Brazil ,4–1, Chile,1998
