home,score,away,year
Mexico ,0–0, Soviet Union,1970
Belgium ,3–0, El Salvador,1970
Soviet Union ,4–1, Belgium,1970
Mexico ,4–0, El Salvador,1970
Soviet Union ,2–0, El Salvador,1970
Mexico ,1–0, Belgium,1970
Uruguay ,2–0, Israel,1970
Italy ,1–0, Sweden,1970
Uruguay ,0–0, Italy,1970
Sweden ,1–1, Israel,1970
Uruguay ,0–1, Sweden,1970
Israel ,0–0, Italy,1970
Romania ,0–1, England,1970
Czechoslovakia ,1–4, Brazil,1970
Romania ,2–1, Czechoslovakia,1970
England ,0–1, Brazil,1970
Romania ,2–3, Brazil,1970
England ,1–0, Czechoslovakia,1970
Peru ,3–2, Bulgaria,1970
West Germany ,2–1, Morocco,1970
Peru ,3–0, Morocco,1970
West Germany ,5–2, Bulgaria,1970
West Germany ,3–1, Peru,1970
Bulgaria ,1–1, Morocco,1970
West Germany ,1–0, Chile,1974
East Germany ,2–0, Australia,1974
Australia ,0–3, West Germany,1974
Chile ,1–1, East Germany,1974
Australia ,0–0, Chile,1974
East Germany ,1–0, West Germany,1974
Brazil ,0–0, Yugoslavia,1974
Zaire ,0–2, Scotland,1974
Scotland ,0–0, Brazil,1974
Yugoslavia ,9–0, Zaire,1974
Scotland ,1–1, Yugoslavia,1974
Zaire ,0–3, Brazil,1974
Uruguay ,0–2, Netherlands,1974
Sweden ,0–0, Bulgaria,1974
Bulgaria ,1–1, Uruguay,1974
Netherlands ,0–0, Sweden,1974
Bulgaria ,1–4, Netherlands,1974
Sweden ,3–0, Uruguay,1974
Italy ,3–1, Haiti,1974
Poland ,3–2, Argentina,1974
Argentina ,1–1, Italy,1974
Haiti ,0–7, Poland,1974
Argentina ,4–1, Haiti,1974
Poland ,2–1, Italy,1974
Netherlands ,4–0, Argentina,1974
Brazil ,1–0, East Germany,1974
Argentina ,1–2, Brazil,1974
East Germany ,0–2, Netherlands,1974
Argentina ,1–1, East Germany,1974
Netherlands ,2–0, Brazil,1974
Yugoslavia ,0–2, West Germany,1974
